symbol,last_updated,country,region,name,exchange,currency,data_source,industry,sector,market_cap,revenue,profit_margin,operating_margin,return_on_equity,return_on_assets,forward_pe,trailing_pe,price_to_sales,price_to_book,enterprise_value,employees,website,revenue_annual,operating_income,net_income,ebitda,gross_profit,fiscal_year_end,total_assets,total_debt,total_equity,cash,current_assets,current_liabilities,current_ratio
MLBAT,2025-03-21T10:53:32.408856,France,Europe,Batla Minerals,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWDP,2025-03-21T10:53:32.440590,France,Europe,Wendel,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLOWS,2025-03-21T10:53:32.487317,Sweden,Europe,Crowdsoft,Unknown,SEK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNIG,2025-03-21T10:53:32.455675,United Kingdom,Europe,Pennant,Unknown,GBP,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARLG,2025-03-21T10:53:32.502339,Austria,Europe,Aareal Bank AG,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZIGN,2025-03-21T10:53:32.487317,Sweden,Europe,Zignsec,Unknown,SEK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGN,2025-03-21T10:53:32.440590,Austria,Europe,Signature,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALNSE,2025-03-21T10:53:32.393528,France,Europe,NSE SA,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCH,2025-03-21T10:53:33.875383,United Kingdom,Europe,Coca Cola HBC AG,Unknown,GBP,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGNG,2025-03-21T10:53:33.921481,Germany,Europe,Paragon AG,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSTT,2025-03-21T10:53:33.937511,United Kingdom,Europe,Touchstar,Unknown,GBP,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOAX,2025-03-21T10:53:33.906273,Sweden,Europe,InCoax Networks,Unknown,SEK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTr,2025-03-21T10:53:33.906273,Greece,Europe,Alpha Astika Akinita SA,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MGNK,2025-03-21T10:53:33.953524,Germany,Europe,Mologen,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAALb,2025-03-21T10:53:33.953524,Denmark,Europe,Per Aarsleff B,Unknown,DKK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IFXGnEUR,2025-03-21T10:53:34.424155,Switzerland,Europe,Infineon,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLEE,2025-03-21T10:53:34.360678,France,Europe,Bleecker,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLXS,2025-03-21T10:53:34.344666,Belgium,Europe,Melexis NV,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTTG,2025-03-21T10:53:34.408146,Germany,Europe,Tegna,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIGP,2025-03-21T10:53:34.140658,France,Europe,Digigram,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NS,2025-03-21T10:53:34.314156,Germany,Europe,Nustar,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EURA,2025-03-21T10:53:34.865166,France,Europe,Eurazeo,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMPq,2025-03-21T10:53:34.927358,United Kingdom,Europe,Red Emperor Resources,Unknown,GBP,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOTB,2025-03-21T10:53:35.398215,Belgium,Europe,Lotus Bakeries,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THXLE,2025-03-21T10:53:35.430215,Netherlands,Europe,Theta Legends,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLIFE,2025-03-21T10:53:35.459867,France,Europe,Global Health Group,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANT1,2025-03-21T10:53:35.430215,Germany,Europe,S&T AG,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPpref,2025-03-21T10:53:35.398215,Sweden,Europe,Oscar Properties Pref,Unknown,SEK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HRMr,2025-03-21T10:53:35.382725,Greece,Europe,Gek Terna,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLO,2025-03-21T10:53:35.855380,United Kingdom,Europe,Polo Resources,Unknown,GBP,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAFGn,2025-03-21T10:53:35.839378,Germany,Europe,Siltronic AG,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCAb,2025-03-21T10:53:36.308178,Sweden,Europe,SCA B,Unknown,SEK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEHA,2025-03-21T10:53:36.245270,Netherlands,Europe,Wereldhave,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAC,2025-03-21T10:53:36.276301,Sweden,Europe,Infracom,Unknown,SEK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHA_p,2025-03-21T10:53:36.229552,Germany,Europe,Schaeffler AG,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUVGnEUR,2025-03-21T10:53:36.214398,Switzerland,Europe,Muench. Rueckvers.,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVMNOK,2025-03-21T10:53:36.198364,Sweden,Europe,Avocet Mining,Unknown,NOK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBOS,2025-03-21T10:53:36.760348,Belgium,Europe,Cie Bois Sauvage,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEVA,2025-03-21T10:53:36.760348,Netherlands,Europe,Bever Holding NV,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGEL,2025-03-21T10:53:37.196118,France,Europe,Toupargel,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TLIT,2025-03-21T10:53:37.102661,Italy,Europe,Telecom Italia,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSO,2025-03-21T10:53:37.149583,Spain,Europe,Obsido Socimi SA,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NESNEE,2025-03-21T10:53:37.149583,Switzerland,Europe,Nestle,Unknown,CHF,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALAVY,2025-03-21T10:53:37.180610,France,Europe,Audiovalley,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUMAN,2025-03-21T10:53:37.180610,Sweden,Europe,Humana,Unknown,SEK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LMPL,2025-03-21T10:53:37.506312,United Kingdom,Europe,Londonmetric Property,Unknown,GBP,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AACM,2025-03-21T10:53:37.600526,Sweden,Europe,AAC Microtec,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSTI,2025-03-21T10:53:37.944557,Finland,Europe,Consti Yhtiot Oy,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOIT,2025-03-21T10:53:38.006809,France,Europe,Soitec,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGFI,2025-03-21T10:53:37.976086,Italy,Europe,Sogefi,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALMLB,2025-03-21T10:53:37.976086,France,Europe,Miliboo SA,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NETb,2025-03-21T10:53:37.960574,Sweden,Europe,NetEnt,Unknown,SEK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICIr,2025-03-21T10:53:37.960574,Greece,Europe,Intercontinental Intl RE,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UN01,2025-03-21T10:53:38.590521,Germany,Europe,Uniper SE,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMINT,2025-03-21T10:53:38.653452,Sweden,Europe,Imint Image Intelligence AB,Unknown,SEK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOCN,2025-03-21T10:53:39.059839,Switzerland,Europe,Hochdorf Holding AG,Unknown,CHF,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOAr,2025-03-21T10:53:39.091387,Greece,Europe,Attica Bank,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SINCH,2025-03-21T10:53:39.121348,Sweden,Europe,CLX Coms,Unknown,SEK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALHSW,2025-03-21T10:53:39.075900,France,Europe,Horizontal Software,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BION,2025-03-21T10:53:39.013495,Switzerland,Europe,BB Biotech,Unknown,CHF,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGOL,2025-03-21T10:53:39.106165,United Kingdom,Europe,Ashmore Global Opp,Unknown,GBP,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JWNG,2025-03-21T10:53:39.600698,United Kingdom,Europe,Jaywing,Unknown,GBP,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTSLA,2025-03-21T10:53:39.600698,Italy,Europe,Tesla,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGCBV,2025-03-21T10:53:40.045466,Finland,Europe,Cargotec Oyj,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRINVS,2025-03-21T10:53:40.045466,Denmark,Europe,Aktieselskabet af 23.04,Unknown,DKK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CRSI,2025-03-21T10:53:40.045466,France,Europe,2Crsi,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDNn,2025-03-21T10:53:39.934012,Italy,Europe,Edison RSP,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGFB,2025-03-21T10:53:39.981769,Belgium,Europe,Agfa Gevaert,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVEG,2025-03-21T10:53:40.045466,Norway,Europe,Sparebanken Vest,Unknown,NOK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRTP,2025-03-21T10:53:40.386834,France,Europe,Kering,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIAF-ME,2025-03-21T10:53:40.402919,Norway,Europe,Sino Agro Food,Unknown,NOK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRSNOK,2025-03-21T10:53:40.814249,Sweden,Europe,Norway Royal Salmon,Unknown,NOK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRDF,2025-03-21T10:53:40.892827,Denmark,Europe,Nordfyns Bank,Unknown,DKK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOUVET,2025-03-21T10:53:40.931828,Norway,Europe,Bouvet,Unknown,NOK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APME,2025-03-21T10:53:40.892827,Germany,Europe,AD Pepper Media,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCC2,2025-03-21T10:53:40.845314,Germany,Europe,Vical,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKOyb,2025-03-21T10:53:40.829249,Germany,Europe,Andina B,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMASL,2025-03-21T10:53:41.335268,Norway,Europe,Emas Offshore Construction Pte,Unknown,NOK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SICT,2025-03-21T10:53:41.304249,Italy,Europe,Sicit Group,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUARTpref,2025-03-21T10:53:41.787687,Sweden,Europe,Quartiers Properties,Unknown,SEK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLSRb,2025-03-21T10:53:41.771851,Sweden,Europe,Clinical Laserthermia,Unknown,SEK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBO,2025-03-21T10:53:41.836043,Spain,Europe,Ab-Biotics S.A.,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTEN,2025-03-21T10:53:41.850379,France,Europe,Alten,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCL,2025-03-21T10:44:03.911473,Belgium,Europe,EXCELLERANT INC,OEM,USD,"investpy, Yahoo Finance",Shell Companies,Financial Services,1130.0,,0.0,0.0,,,,,,-0.049999997,,,https://excellerant.vc,0.0,-43632.0,-13800.0,-43632.0,,2021-09-30,0.0,13935.0,,,0.0,19887.0,
GJFS,2025-03-21T10:53:41.850379,Norway,Europe,Gjensidige Forsikring,Unknown,NOK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSMGn,2025-03-21T10:53:41.850379,Switzerland,Europe,Prosiebensat,Unknown,CHF,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BE4A,2025-03-21T10:53:42.210619,Germany,Europe,Beazer Homes USA,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMEGEUR,2025-03-21T10:53:42.242779,Switzerland,Europe,Fresenius ST,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COFA,2025-03-21T10:53:42.619077,France,Europe,Coface,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANG_p,2025-03-21T10:53:42.556412,Germany,Europe,Man SE VZO,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRKN,2025-03-21T10:53:42.649852,Switzerland,Europe,Burkhalter Holding AG,Unknown,CHF,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANI,2025-03-21T10:53:42.571653,Italy,Europe,Danieli & C,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALDIE,2025-03-21T10:53:42.634608,France,Europe,Dietswell,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPET,2025-03-21T10:53:42.571653,United Kingdom,Europe,BMO Private Equity,Unknown,GBP,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LACP,2025-03-21T10:53:43.118964,France,Europe,Lacroix,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAPAT,2025-03-21T10:53:43.103775,Norway,Europe,Napatech,Unknown,NOK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORr,2025-03-21T10:53:43.461432,Greece,Europe,Motor Oil,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAKG,2025-03-21T10:53:43.647246,Germany,Europe,Einbecker Brauhaus,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALMEC,2025-03-21T10:53:43.554378,France,Europe,Mecelec,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GABI,2025-03-21T10:53:43.461432,Italy,Europe,Gabetti Property,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV,2025-03-21T10:53:43.492666,Germany,Europe,Pfeiffer,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLAN,2025-03-21T10:53:43.507685,Netherlands,Europe,Hal Trust,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKJE,2025-03-21T10:53:44.166077,Denmark,Europe,Skjern Bank,Unknown,DKK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WUGG,2025-03-21T10:53:44.177354,Germany,Europe,Westag&Getalit ST,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR8,2025-03-21T10:53:44.662100,Germany,Europe,Carbo Ceramics,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
